hora,Fosil,Fosiln,Solar,Solarn,Eolica,Eolican,Hidro,Hidron
1-2,0,-8.73114913702011E-14,0,0,0,0,0,0
3-4,2.61934474110603E-13,-1.81898940354586E-15,0,0,0,0,0,0
5-6,0,-0.0163576441910827,0,0,0,0,0,0
7-8,0,-61.6028880234036,0,0,0,0,0,0
9-10,0,-2.69337052034801,0,-33.2416,0,-184.448333333333,0,-119.430396570691
11-12,0,-3.87959084814604,0,-297.88561231812,0,-265.987983933333,78.2779692336588,0
13-14,0,-3.93525470324011,0,-150.466325921298,56.987451,0,0,-399.084013767801
15-16,0,-3.02895043301159,0,-101.271794054584,0,-352.0075,74.1555301589766,0
17-18,0,-115.815371081219,0,-4.88225466648987,0,0,0,0
19-20,0,-0.158145704038301,0,0,0,0,0,0
21-22,0,-0.0217883820625466,0,0,0,0,0,0
23-24,0,-9.09494701772928E-15,0,0,0,0,0,0
1-2,3.21961124427617E-13,0,0,0,0,0,0,0
3-4,2.91038304567337E-13,-3.63797880709171E-15,0,0,0,0,0,0
5-6,0,-0.205065934487216,0,0,0,0,0,0
7-8,0,-77.8226219103661,0,0,0,0,0,0
9-10,0,-2.72579838354591,0,0,151.401006663091,0,0,-492.580225552783
11-12,0,-3.8083156020848,0,-109.959934459614,0,-202.9248126,0,-163.789591823248
13-14,0,-3.70599456135646,0,-472.640186512862,0,-11.5897266,20.3627623780334,0
15-16,0,-2.91414050242331,0,-60.5555556628763,0,-411.390762166667,107.192935351482,0
17-18,0,-1.1435843498361,13.8816,0,0,0,0,-157.020291976184
19-20,0,-4.06852676443682,0,0,0,0,0,0
21-22,0,0,0,0,0,0,0,0
23-24,2.03726813197136E-13,-3.63797880709171E-15,0,0,0,0,0,0

