hora,Fosil,Fosiln,Solarn,Solar,Eolica,Eolican,Hidro,Hidron
1-2,1.30967237055302E-13,-4.07453626394272E-13,0,0,0,0,0,0
3-4,4.36557456851006E-13,-1.74622982740402E-13,0,0,0,0,0,0
5-6,0,-0.00819104643929495,0,0,0,0,0,0
7-8,0,-77.9098758139147,0,0,0,0,0,0
9-10,0,-331.481239655421,0,0,0,0,0,-98.2850269824625
11-12,0,-4.90656283960304,-113.635617708085,0,0,-325.27222575,50.7424951505339,-225.972985310242
13-14,0,-4.97696155266427,-75.88,0,14.1947676543907,-357.192,0,-204.0726766543
15-16,0,-3.83074819467528,-37.3824,0,0,0,0,-442.099752719678
17-18,0,-152.647665308579,0,0,0,0,0,0
19-20,0,-0.200008677474525,0,0,0,0,0,0
21-22,0,-0.0275560155557032,0,0,0,0,0,0
23-24,0,0,0,0,0,0,0,0
1-2,0,0,0,0,0,0,0,0
3-4,0,0,0,0,0,0,0,0
5-6,0,-0.259349228618095,0,0,0,0,0,0
7-8,0,-98.4231584442346,0,0,0,0,0,0
9-10,0,-221.954811929101,-227.48,0,0,0,14.4942101611921,0
11-12,0,-4.81642022214771,-72.24,0,11.6421770775134,-38.2414374,0,-504.016218335183
13-14,0,-4.68701363372172,0,28.5815309396937,11.5897266,0,0,-626.829339124686
15-16,0,-3.68554676465565,-302.246515248468,0,0,0,0,-159.061252023333
17-18,0,-182.475442164961,0,0,0,0,0,0
19-20,0,-5.14551225004981,0,0,0,0,0,0
21-22,3.292370820418E-13,-1.70985003933311E-13,0,0,0,0,0,0
23-24,2.91038304567337E-14,0,0,0,0,0,0,0
