hora;Fosil;Solar;Eolica;Hidro
1-2;0.20;0.00;0.00;-0.20
3-4;-1.53;0.00;0.00;1.53
5-6;-31.54;0.00;0.00;31.54
7-8;-82.87;0.00;0.00;82.87
9-10;0.00;0.00;0.00;0.00
11-12;0.00;0.00;0.00;0.00
13-14;0.00;0.00;0.00;0.00
15-16;0.00;0.00;0.00;0.00
17-18;-71.23;0.00;0.00;71.23
19-20;-196.48;0.00;0.00;196.48
21-22;-171.60;0.00;0.00;171.60
23-24;-53.92;0.00;0.00;53.92
1-2;-4.70;0.00;0.00;4.70
3-4;-8.71;0.00;0.00;8.71
5-6;-21.39;0.00;0.00;21.39
7-8;-63.94;0.00;0.00;63.94
9-10;0.00;0.00;0.00;0.00
11-12;0.00;0.00;0.00;0.00
13-14;0.00;0.00;0.00;0.00
15-16;0.00;0.00;0.00;0.00
17-18;-256.04;0.00;0.00;256.04
19-20;-264.40;0.00;0.00;264.40
21-22;-217.73;0.00;0.00;217.73
23-24;-92.66;0.00;0.00;92.66

