hora,TG,TGn,Motor,Motorn,CCn,Solar,Solarn,Eolica,Eolican,Hidro,Hidron
1-2,0,0,0,0,-0.00011704270800692,0,0,0,0,0,0
3-4,0.0001170427080433,0,0,0,-0.000117042708152439,0,0,0,0,0,0
5-6,0,-0.00156212696657167,0,-4.76936990216927E-05,-0.00440753648296231,0,0,0,0,0,0
7-8,0,0,0,-0.179614470547502,-22.4817525509589,0,0,0,0,0,0
9-10,0,0,0,-0.99078890365209,-63.4416593061372,0,0,8.419203,0,0,-68.9913321945572
11-12,0,0,0,-1.4271543903869,-91.3827781866,0,-33.9250813405539,0,0,0,-53.3243618016254
13-14,0,0,0,-1.44763101235371,-92.6939261715745,22.2700366763001,0,0,0,0,-110.771323260276
15-16,0,0,0,-1.11423603105017,-71.3461590132311,58.41,0,0,0,0,-126.529100423132
17-18,0,0,0,-0.351915970835311,-22.5336931447532,0,-18.45,0,0,0,-3.06447152111973
19-20,0,0,0,-0.000461102682220371,-0.0295250776053581,0,0,0,0,0,-0.0281896286248084
21-22,0,0,0,-6.35280071110174E-05,-0.00406779099852429,0,0,0,-13.33543185,13.3315480492835,0
23-24,0,0,9.09494701772928E-15,0,-1.20053300634027E-13,0,0,0,0,0,0
1-2,0,0,0,0,0,0,0,0,-7.9850106,7.98501060000007,0
3-4,0,0,0,0,-1.16415321826935E-13,0,0,0,0,0,0
5-6,0,0,0,-0.000597907183120697,-0.0382848694297136,0,0,0,0,0,-0.0365532062465661
7-8,0,0,0,-0.226906066899624,-14.5291265754794,0,0,0,0,0,-13.8719595552709
9-10,0,0,0,-1.00271788512082,-64.2054893969044,0,-21.9525841300541,0,0,0,-39.3488263513843
11-12,0,0,0,-1.40093492954072,-89.7039078479602,0,-45.4971228461346,0,0,0,-40.1493869527933
13-14,0,0,0,-1.36329489784145,-87.2937616921694,0,-199.065316647012,11.5897266,0,104.130213067165,0
15-16,0,0,0,-1.07200181024893,-68.6418402251867,0,0,0,-12.9350691,0,-52.6020315960714
17-18,0,0,0,-0.420681326853386,-26.936839236199,0,-16.9182,0,0,0,-8.80025888258852
19-20,0,0,0,-0.0118625328154267,-0.759575286532199,0.732,0,0,-12.081843,10.6246240682761,0
21-22,0,0,0,0,0,0,0,10.8095706,0,0,-10.8095705999999
23-24,0,0,0,0,0,0,0,9.25891965,0,0,-9.25891964999985

