hora,Fosil,Fosiln,Solar,Solarn,Eolica,Eolican,Hidro,Hidron
1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-8,0.0,-54.8,0.0,0.0,0.0,0.0,0.0,0.0
9-10,0.0,-302.1,0.0,0.0,0.0,0.0,0.0,0.0
11-12,0.0,-435.1,0.0,0.0,0.0,0.0,0.0,0.0
13-14,0.0,-441.3,0.0,0.0,0.0,0.0,0.0,0.0
15-16,0.0,-339.7,0.0,0.0,0.0,0.0,0.0,0.0
17-18,0.0,-107.3,0.0,0.0,0.0,0.0,0.0,0.0
19-20,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
21-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-6,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
7-8,0.0,-69.2,0.0,0.0,0.0,0.0,0.0,0.0
9-10,0.0,-305.7,0.0,0.0,0.0,0.0,0.0,0.0
11-12,0.0,-427.1,0.0,0.0,0.0,0.0,0.0,0.0
13-14,0.0,-415.6,0.0,0.0,0.0,0.0,0.0,0.0
15-16,0.0,-326.8,0.0,0.0,0.0,0.0,0.0,0.0
17-18,0.0,-128.3,0.0,0.0,0.0,0.0,0.0,0.0
19-20,0.0,-3.6,0.0,0.0,0.0,0.0,0.0,0.0
21-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
