hora,Fosil,Fosiln,Solar
1-2,0,-2.42835265784613E-13,0
3-4,0,-6.821279652236E-14,0
5-6,0,-0.0206876993663146,0
7-8,0,-77.909875813915,0
9-10,0,-429.766266637883,0
11-12,0,-599.485213549457,-10.4996829079378
13-14,0,-618.866870552574,0
15-16,0,-483.312900914353,0
17-18,0,-152.647665308579,0
19-20,0,-0.200008677474298,0
21-22,0,-0.0275560155556187,0
23-24,0,-2.72698530423554E-15,0
1-2,1.89626092605977E-13,0,0
3-4,2.47836473565854E-13,0,0
5-6,0,-0.259349228618061,0
7-8,0,-79.608875322773,0
9-10,0,-434.671720141772,-0.268881626136441
11-12,0,-411.808136961764,-195.863761918054
13-14,0,-433.055376088269,-149.229719130444
15-16,0,-411.600775072001,-53.392538964457
17-18,0,-177.403942164961,0
19-20,0,-5.14551225005043,0
21-22,0.0713946185978425,-0.0713946185977547,0
23-24,0,-2.20552742735691E-13,0
