hora;FosilN;HidroN;SolarN;EolicoN;ImpoN;FosilC;HidroC;SolarC;EolicoC;ImpoC;FosilO;HidroO;SolarO;EolicoO;ImpoO;FosilS;HidroS;SolarS;EolicoS;ImpoS;ImpoC2
Dry:1-2;27;158;0;0;-390;308;218;0;24;0;349;387;0;225;0;385;9;0;0;-4;-260
Dry:3-4;58;117;0;0;-390;359;162;0;23;0;352;387;0;210;0;385;6;0;0;-3;-260
Dry:5-6;57;118;0;0;-390;358;164;0;23;0;354;387;0;207;0;385;6;0;0;-3;-260
Dry:7-8;7;180;26;0;-363;221;249;60;21;0;397;387;0;178;0;356;10;32;0;0;-290
Dry:9-10;7;221;142;0;-208;0;204;329;20;0;233;476;0;246;-6;133;13;252;0;0;-91
Dry:11-12;7;158;205;0;-208;0;55;473;24;0;39;476;0;300;-142;0;0;398;0;0;-91
Dry:13-14;7;137;208;0;-222;0;39;480;30;0;40;476;0;383;-52;0;0;396;0;0;-93
Dry:15-16;7;203;160;0;-213;0;150;370;36;0;43;471;0;451;0;0;14;386;0;-1;-15
Dry:17-18;7;254;50;0;-282;24;350;117;35;-37;221;398;0;369;0;353;14;38;0;0;-319
Dry:19-20;7;362;0;0;-251;40;506;0;36;0;227;419;0;384;0;356;20;0;0;-39;-195
Dry:21-22;7;355;0;0;-258;60;491;0;32;0;288;418;0;322;0;356;19;0;0;-40;-196
Dry:23-24;7;244;0;0;-345;201;338;0;27;0;341;399;0;254;0;373;13;0;0;-20;-230
Wet:1-2;3;305;0;0;-266;105;422;0;23;0;393;361;0;208;0;356;17;0;0;-25;-260
Wet:3-4;3;289;0;0;-274;122;363;0;22;0;380;361;0;208;0;356;16;0;0;-22;-260
Wet:5-6;3;288;0;0;-274;160;361;0;22;0;386;361;0;201;0;356;16;0;0;-22;-260
Wet:7-8;3;308;32;0;-230;0;425;74;19;-30;400;378;0;179;0;356;17;24;0;0;-260
Wet:9-10;3;225;141;0;-208;0;205;327;20;0;280;412;0;250;-17;0;18;341;0;-38;0
Wet:11-12;3;169;198;0;-209;0;70;457;25;0;16;412;0;315;-214;0;12;386;0;0;-91
Wet:13-14;3;174;192;0;-205;0;74;445;31;0;16;412;0;403;-122;0;18;379;0;0;-85
Wet:15-16;3;216;151;0;-214;0;171;350;35;0;16;412;0;450;-89;5;19;365;0;-11;0
Wet:17-18;3;308;59;0;-222;0;392;137;33;0;193;396;0;396;0;327;19;58;0;0;-133
Wet:19-20;3;365;2;0;-242;57;485;4;30;0;370;345;0;301;0;356;21;4;0;-30;-209
Wet:21-22;3;367;0;0;-249;73;481;0;27;0;400;349;0;278;0;356;22;0;0;-36;-198
Wet:23-24;3;350;0;0;-244;103;439;0;25;0;422;335;0;238;0;356;19;0;0;-31;-230


