hora;FosilN;HidroN;SolarN;EolicoN;ImpoN;FosilC;HidroC;SolarC;EolicoC;ImpoC;FosilO;HidroO;SolarO;EolicoO;ImpoO;FosilS;HidroS;SolarS;EolicoS;ImpoS
Dry:1-2;0;0;0;0;-390;0;0;0;0;-260;0;0;0;0;0;0;0;0;0;-4
Dry:3-4;0;0;0;0;-390;0;0;0;0;-260;0;0;0;0;0;0;0;0;0;-3
Dry:5-6;0;0;0;0;-390;0;0;0;0;-260;0;0;0;0;0;0;0;0;0;-3
Dry:7-8;0;0;0;0;-341;-47;22;0;0;-299;-30;0;0;0;0;-9;0;0;0;0
Dry:9-10;0;0;0;0;-89;0;-7;0;0;-9;-194;0;0;0;-33;-51;0;0;0;0
Dry:11-12;0;-158;0;0;-194;0;-201;0;0;-165;0;-142;0;0;-43;-74;0;0;0;0
Dry:13-14;0;-137;0;0;-184;0;-201;0;0;-165;0;-263;0;0;-71;-72;0;-3;0;0
Dry:15-16;0;-109;0;0;-187;0;-322;0;0;-238;-8;-179;0;0;0;-43;-14;0;0;0
Dry:17-18;0;0;0;0;-240;-24;43;0;0;-270;-34;-25;0;0;0;-18;0;0;0;0
Dry:19-20;0;0;0;0;-251;0;0;0;0;-196;0;0;0;0;0;0;0;0;0;-39
Dry:21-22;0;0;0;0;-258;0;0;0;0;-196;0;0;0;0;0;0;0;0;0;-40
Dry:23-24;0;0;0;0;-345;0;0;0;0;-230;0;0;0;0;0;0;0;0;0;-20
Wet:1-2;0;0;0;0;-266;0;0;0;0;-260;0;0;0;0;0;0;0;0;0;-25
Wet:3-4;0;0;0;0;-274;0;0;0;0;-260;0;0;0;0;0;0;0;0;0;-22
Wet:5-6;0;0;0;0;-274;0;0;0;0;-260;0;0;0;0;0;0;0;0;0;-22
Wet:7-8;0;0;0;0;-202;0;27;0;0;-213;-98;59;0;0;0;-12;0;0;0;0
Wet:9-10;0;-22;0;0;-108;0;-103;0;0;-14;-264;0;0;0;-112;-14;0;0;0;0
Wet:11-12;0;-169;0;0;-208;0;-188;0;0;-154;0;-22;0;0;0;-61;-12;0;0;0
Wet:13-14;0;-174;0;0;-215;0;-203;0;0;-167;0;-108;0;0;0;-53;-18;0;0;0
Wet:15-16;0;-4;0;0;-88;0;-207;0;0;-111;0;-91;0;0;0;-25;-19;0;0;0
Wet:17-18;0;0;0;0;-171;0;-114;0;0;-210;91;-161;0;0;0;-187;0;0;0;-165
Wet:19-20;0;0;0;0;-240;-5;2;0;0;-211;0;-2;0;0;0;0;0;0;0;-30
Wet:21-22;0;0;0;0;-249;0;0;0;0;-198;0;0;0;0;0;0;0;0;0;-36
Wet:23-24;0;0;0;0;-244;0;0;0;0;-230;0;0;0;0;0;0;0;0;0;-31

