hora;FosilN;HidroN;SolarN;EolicoN;ImpoN;FosilC;HidroC;SolarC;EolicoC;ImpoC;FosilO;HidroO;SolarO;EolicoO;ImpoO;FosilS;HidroS;SolarS;EolicoS;ImpoS
Dry:1-2;0;0;0;0;-390;0;0;0;0;-260;0;0;0;0;0;0;0;0;0;-4
Dry:3-4;-1;1;0;0;-390;-1;1;0;0;-260;0;0;0;0;0;0;0;0;0;-3
Dry:5-6;-1;1;0;0;-390;-1;1;0;0;-260;-28;28;0;0;0;0;0;0;0;-2
Dry:7-8;0;20;0;0;-320;-97;28;0;0;-301;-58;28;0;0;0;0;2;0;0;0
Dry:9-10;0;-11;0;0;-99;0;-58;0;0;-6;-194;-28;0;0;-61;-133;-2;0;0;0
Dry:11-12;0;-158;0;0;-194;0;-314;0;0;-165;0;-142;0;0;-43;0;0;0;0;0
Dry:13-14;0;-137;0;0;-184;0;-220;0;0;-165;0;-263;0;0;-71;0;0;-3;0;0
Dry:15-16;0;-65;0;0;-143;0;-348;0;0;-193;-8;-57;0;0;0;0;-1;0;0;0
Dry:17-18;0;-7;0;0;-247;-24;-10;0;0;-287;-195;85;0;0;0;1;-1;0;0;0
Dry:19-20;0;-1;0;0;-251;-84;79;0;0;-196;-102;102;0;0;0;0;5;0;0;-34
Dry:21-22;0;7;0;0;-251;-95;82;0;0;-196;-68;68;0;0;0;0;5;0;0;-34
Dry:23-24;0;21;0;0;-324;-34;28;0;0;-230;0;0;0;0;0;-17;2;0;0;-35
Wet:1-2;0;2;0;0;-264;-4;2;0;0;-260;0;0;0;0;0;0;0;0;0;-25
Wet:3-4;0;3;0;0;-271;-8;4;0;0;-260;0;0;0;0;0;0;0;0;0;-22
Wet:5-6;0;8;0;0;-266;-20;11;0;0;-260;0;0;0;0;0;0;1;0;0;-21
Wet:7-8;0;27;0;0;-176;0;59;0;0;-260;43;-28;0;0;0;-203;4;0;0;-133
Wet:9-10;0;-1;0;0;-87;0;-105;0;0;-8;-264;-56;0;0;-168;0;-6;0;0;0
Wet:11-12;0;-58;0;0;-97;0;-402;0;0;-161;0;-141;0;0;-120;0;-2;0;0;0
Wet:13-14;0;-112;0;0;-152;0;-316;0;0;-138;0;-141;0;0;-34;0;-18;0;0;0
Wet:15-16;0;-54;0;0;-138;0;-327;0;0;-55;0;-56;0;0;0;-5;-19;0;0;0
Wet:17-18;0;-1;0;0;-172;0;94;0;0;-68;-193;142;0;0;0;-229;6;0;0;-116
Wet:19-20;0;-1;0;0;-241;-57;86;0;0;-172;-198;159;0;0;0;0;6;0;0;-24
Wet:21-22;0;-1;0;0;-250;-73;76;0;0;-198;-125;125;0;0;0;-8;5;0;0;-39
Wet:23-24;0;16;0;0;-228;-88;68;0;0;-230;0;0;0;0;0;0;4;0;0;-27
