hora;FosilN;HidroN;SolarN;EolicoN;ImpoN;FosilC;HidroC;SolarC;EolicoC;ImpoC;FosilO;HidroO;SolarO;EolicoO;ImpoO;FosilS;HidroS;SolarS;EolicoS;ImpoS
Dry:1-2;94;158;0;0;323;491;37;0;8;15;787;0;0;134;40;389;9;0;0;0
Dry:3-4;162;117;0;0;286;515;5;0;7;16;794;0;0;127;27;388;6;0;0;0
Dry:5-6;159;118;0;0;288;514;6;0;7;16;795;0;0;126;27;387;6;0;0;0
Dry:7-8;10;180;10;0;376;463;40;26;7;14;805;0;1;115;42;382;10;6;0;0
Dry:9-10;7;237;53;0;281;223;163;145;8;14;803;0;8;110;47;353;13;33;0;0
Dry:11-12;7;258;77;0;237;150;170;209;9;14;691;0;11;131;135;337;14;47;0;0
Dry:13-14;7;228;78;0;261;166;145;212;11;16;704;0;12;166;80;336;12;48;0;0
Dry:15-16;7;252;60;0;263;178;191;163;12;12;716;0;9;196;54;349;14;37;0;0
Dry:17-18;7;254;19;0;314;333;159;52;12;7;724;0;3;194;69;379;14;12;0;0
Dry:19-20;7;366;0;0;247;243;326;0;14;0;722;0;0;199;108;392;20;0;0;3
Dry:21-22;7;355;0;0;258;263;306;0;12;0;748;0;0;173;108;393;19;0;0;3
Dry:23-24;7;244;0;0;345;421;129;0;10;6;774;0;0;147;73;393;13;0;0;0
Wet:1-2;3;305;0;0;266;260;269;0;7;14;795;0;0;126;40;381;17;0;0;0
Wet:3-4;3;289;0;0;274;271;249;0;7;18;796;0;0;125;28;378;16;0;0;0
Wet:5-6;3;288;0;0;274;271;247;0;6;18;801;0;0;120;26;378;16;0;0;0
Wet:7-8;3;308;12;0;250;213;282;33;6;15;814;0;2;106;37;372;17;7;0;0
Wet:9-10;3;338;53;0;183;112;279;144;7;9;657;0;8;109;193;347;18;33;0;0
Wet:11-12;3;343;74;0;158;5;323;202;9;14;657;0;11;137;163;334;19;45;0;0
Wet:13-14;3;333;72;0;168;13;315;196;11;15;657;0;11;174;122;335;18;44;0;0
Wet:15-16;3;352;57;0;173;39;341;154;12;9;657;0;8;194;116;346;19;35;0;0
Wet:17-18;3;348;22;0;219;172;318;61;12;0;711;0;3;181;93;356;19;14;0;15
Wet:19-20;3;397;1;0;211;175;388;2;11;0;757;0;0;164;95;375;21;0;0;15
Wet:21-22;3;412;0;0;204;169;402;0;10;0;770;0;0;151;106;369;22;0;0;23
Wet:23-24;3;350;0;0;244;227;325;0;9;6;785;0;0;136;74;387;19;0;0;0


