hora;FosilN;HidroN;SolarN;EolicoN;ImpoN;FosilC;HidroC;SolarC;EolicoC;ImpoC;FosilO;HidroO;SolarO;EolicoO;ImpoO;FosilS;HidroS;SolarS;EolicoS;ImpoS
Dry:1-2;66;0;0;0;-257;0;0;0;0;-15;66;0;0;0;-105;0;0;0;0;0
Dry:3-4;66;0;0;0;-220;0;0;0;0;-16;66;0;0;0;-93;0;0;0;0;0
Dry:5-6;66;0;0;0;-223;0;0;0;0;-16;66;0;0;0;-93;0;0;0;0;0
Dry:7-8;-3;0;0;0;-359;-22;0;0;0;-22;66;0;0;0;-81;-8;0;0;0;0
Dry:9-10;0;0;0;0;-175;-114;0;0;0;-49;209;0;0;0;-108;-46;0;0;0;0
Dry:11-12;0;0;0;0;-83;-106;0;0;0;-7;137;0;0;0;-58;-66;0;0;0;0
Dry:13-14;0;0;0;0;-105;-113;0;0;0;-14;149;0;0;0;-13;-67;0;0;0;0
Dry:15-16;0;0;0;0;-143;-134;0;0;0;-58;121;0;0;0;-8;-51;0;0;0;0
Dry:17-18;0;0;0;0;-276;-44;0;0;0;-23;66;0;0;0;-82;-16;0;0;0;0
Dry:19-20;12;0;0;0;-235;0;0;0;0;0;66;0;0;0;-174;0;0;0;0;-3
Dry:21-22;21;0;0;0;-237;0;0;0;0;0;66;0;0;0;-173;0;0;0;0;-3
Dry:23-24;49;0;0;0;-296;0;0;0;0;-6;66;0;0;0;-139;0;0;0;0;0
Wet:1-2;0;0;0;0;-266;0;0;0;0;-14;66;0;0;0;-106;0;0;0;0;0
Wet:3-4;0;0;0;0;-274;0;0;0;0;-18;66;0;0;0;-93;0;0;0;0;0
Wet:5-6;0;0;0;0;-274;0;0;0;0;-18;66;0;0;0;-92;0;0;0;0;0
Wet:7-8;0;0;0;0;-225;-28;0;0;0;-25;66;0;0;0;-69;-10;0;0;0;0
Wet:9-10;0;0;0;0;-75;-126;0;0;0;-55;86;0;0;0;-129;-46;0;0;0;0
Wet:11-12;0;7;0;0;-1;-97;0;0;0;0;134;0;0;0;-88;-230;0;0;0;-165
Wet:13-14;0;0;0;0;-21;-93;0;0;0;0;126;0;0;0;-44;-223;0;0;0;-160
Wet:15-16;0;0;0;0;-57;-75;0;0;0;0;126;0;0;0;-82;-92;0;0;0;-42
Wet:17-18;0;0;0;0;-173;-37;0;0;0;-4;140;0;0;0;-170;-4;0;0;0;0
Wet:19-20;0;0;0;0;-210;-2;0;0;0;-1;66;0;0;0;-159;14;0;0;0;0
Wet:21-22;0;0;0;0;-204;0;0;0;0;0;66;0;0;0;-172;20;0;0;0;-3
Wet:23-24;0;0;0;0;-244;0;0;0;0;-6;66;0;0;0;-140;0;0;0;0;0





