Anio,Solar,Eolica,Hidro,SolarT,EolicaT,HidroT,cien,mil
2023,0,0,0,0,0,0,1.15248095,11.5248095
2024,2.4,0,0,2.4,0,0,2.05189442,20.5189442
2025,140,161,377,140,261,377,4.41121157,44.1121157
2026,228,154,0,198,0,0,7.9630814,79.630814
2027,0,0,119,0,0,119,12.45983075,124.5983075
2028,240,50,0,0,0,0,17.6734643,176.734643
2029,120,0,200,0,0,0,23.39566457,233.9566457
2030,240,0,400,0,0,0,29.43779192,294.3779192
2031,480,24,0,0,0,0,35.63088455,356.3088455
2032,0,0,0,0,0,0,41.8256585,418.256585
2033,0,0,0,0,0,0,47.89250765,478.9250765
2034,110,50,0,0,0,0,53.72150372,537.2150372
2035,0,108,0,0,0,0,59.22239627,592.2239627
2036,0,103,0,0,0,0,64.3246127,643.246127
2037,0,0,0,0,0,0,68.97725825,689.7725825
2038,0,0,0,0,0,0,73.1491160000001,731.491160000001
2039,0,0,0,0,0,0,76.8286468700001,768.286468700001
2040,0,0,0,0,0,0,80.02398962,800.2398962
2041,0,0,0,0,0,0,82.76296085,827.629608500001
2042,0,0,0,0,0,0,85.0930550000001,850.930550000001
2043,0,0,0,0,0,0,87.0814443500001,870.814443500001
2044,0,0,0,0,0,0,88.81497902,888.1497902
2045,0,0,0,0,0,0,90.40018697,904.0018697
2046,0,0,0,0,0,0,91.9632740000001,919.632740000001
2047,0,0,0,0,0,0,93.65012375,936.5012375
2048,0,37,0,0,0,0,95.6262977,956.262977
2049,0,0,0,0,0,0,98.07703517,980.7703517
2050,0,105,0,0,0,0,101.20725332,1012.0725332
