anio,tend,alt
2023,-10.9,-12.2
2024,-19.5,-21.7
2025,-41.8,-46.7
2026,-73.6,-76.1
2027,-100.5,-107.9
2028,-144.6,-81.7
2029,-193.3,-22.4
2030,-245.6,-5.2
2031,-305.8,-6.3
2032,-367.0,-7.4
2033,-426.4,-8.4
2034,-484.5,-9.5
2035,-541.0,-11.1
2036,-593.7,-13.0
2037,-642.7,-16.5
2038,-687.7,-28.0
2039,-726.1,-30.9
2040,-758.6,-41.8
2041,-784.5,-55.6
2042,-806.6,-72.7
2043,-825.5,-87.5
2044,-841.9,-101.6
2045,-856.9,-106.4
2046,-871.8,-127.7
2047,-887.8,-160.9
2048,-906.5,-191.3
2049,-931.7,-228.0
2050,-960.9,-252.4
