anio,alt
2023,-83.9048137237974
2024,-7.04797668236806
2025,-18.873270548999
2026,-28.6000104497537
2027,-36.1704993144363
2028,-73.6850117320185
2029,-47.5071155417575
2030,-56.3501416967367
2031,-23.0808827558996
2032,1.73647346414075
2033,21.9902984887674
2034,-9.45456337914411
2035,-11.0934618295121
2036,-16.9403537379457
2037,-29.16450130633
2038,-55.567391833882
2039,-88.8633499475106
2040,-127.967402793672
2041,-167.087764569665
2042,-208.337670030517
2043,-174.299229715068
2044,-245.052451536205
2045,-331.376700146092
2046,-217.460586063288
2047,-139.345899447024
2048,-108.531146278348
2049,-77.9897504299801
2050,-133.780106922969
