ANIO;GN;CAP;DEMANDA
2023;301.0;881.6;1.6
2024;256.1;783.5;1.1
2025;129.3;854.4;2.6
2026;92.7;817.4;3.4
2027;76.1;747.1;3.7
2028;61.9;693.4;3.8
2029;35.4;679.2;3.6
2030;11.0;707.9;3.3
2031;10.7;663.9;2.9
2032;10.9;588.8;2.6
2033;11.3;525.2;2.2
2034;11.1;470.8;1.8
2035;10.3;421.9;1.5
2036;9.7;384.1;1.2
2037;10.2;334.5;0.9
2038;10.7;298.5;0.7
2039;11.3;268.6;0.6
2040;11.7;241.2;0.4
2041;12.0;211.6;0.3
2042;12.3;189.9;0.2
2043;12.4;170.7;0.2
2044;12.4;143.6;0.1
2045;12.4;124.9;0.1
2046;12.4;102.0;0.1
2047;12.4;90.3;0.1
2048;12.1;78.1;0.1
2049;11.9;69.6;0.1
2050;11.1;62.8;0.1

