ANIO;GN;CAP;DEMANDA
2023;-0.8;-0.5;14.8
2024;-1.3;-0.7;10.1
2025;-2.4;-1.4;23.1
2026;-3.5;-2.3;30.5
2027;-4.4;-3.3;33.7
2028;-3.0;-4.5;34.2
2029;-0.7;-5.7;32.8
2030;-0.2;-6.4;30.2
2031;-0.2;-6.9;27.0
2032;-0.2;-7.3;23.6
2033;-0.2;-7.4;20.1
2034;-0.2;-7.4;16.8
2035;-0.2;-7.3;13.8
2036;-0.2;-7.0;11.2
2037;-0.2;-6.7;8.8
2038;-0.3;-6.4;6.9
2039;-0.3;-6.0;5.3
2040;-0.4;-5.6;4.0
2041;-0.5;-5.1;3.0
2042;-0.5;-4.7;2.2
2043;-0.6;-4.3;1.6
2044;-0.6;-3.9;1.2
2045;-0.6;-3.6;1.0
2046;-0.6;-3.2;0.8
2047;-0.7;-2.9;0.8
2048;-0.7;-2.7;0.8
2049;-0.8;-2.4;0.8
2050;-0.8;-2.2;0.9
