ANIO;GN;HEAT;CAP;DEMANDA
2023;308.5;16.4;624.9;1.6
2024;264.4;14.6;555.1;1.1
2025;122.7;12.9;673.1;2.6
2026;103.9;11.6;622.5;3.4
2027;85.7;10.2;574.9;3.7
2028;80.4;9.0;512.8;3.8
2029;75.4;8.0;457.3;3.6
2030;70.7;7.1;401.8;3.3
2031;68.5;6.4;357.3;2.9
2032;66.5;6.0;311.3;2.6
2033;64.4;5.4;275.5;2.2
2034;62.1;5.0;237.4;1.8
2035;59.9;4.5;205.0;1.5
2036;57.6;4.2;182.4;1.2
2037;55.3;3.8;152.7;0.9
2038;52.9;3.5;134.3;0.7
2039;50.4;3.3;119.8;0.6
2040;48.2;3.0;106.9;0.4
2041;46.4;2.7;90.7;0.3
2042;44.6;2.5;80.8;0.2
2043;42.5;2.3;72.2;0.2
2044;40.5;2.1;54.8;0.1
2045;38.6;2.0;42.8;0.1
2046;36.7;1.8;30.4;0.1
2047;34.1;1.7;25.4;0.1
2048;32.1;1.5;22.1;0.1
2049;30.8;1.4;20.5;0.1
2050;29.6;1.3;19.0;0.1

