ANIO;GN;HEAT;CAP;DEMANDA
2023;-0.7;0.0;0.0;14.8
2024;-1.1;0.0;0.0;10.1
2025;-2.2;-0.1;0.0;23.1
2026;-3.4;-0.1;0.0;30.4
2027;-4.2;-0.2;-0.1;33.7
2028;-5.3;-0.2;-0.1;34.1
2029;-6.4;-0.3;-0.1;32.7
2030;-7.2;-0.3;-0.1;30.1
2031;-8.0;-0.3;-0.1;26.9
2032;-8.6;-0.3;-0.1;23.5
2033;-8.9;-0.4;-0.1;20.0
2034;-9.1;-0.4;-0.1;16.7
2035;-9.1;-0.3;0.0;13.8
2036;-9.0;-0.3;0.0;11.1
2037;-8.7;-0.3;0.0;8.8
2038;-8.2;-0.3;0.0;6.8
2039;-7.7;-0.3;0.0;5.2
2040;-7.3;-0.3;0.0;3.9
2041;-6.9;-0.2;0.0;2.9
2042;-6.3;-0.2;0.0;2.2
2043;-6.0;-0.2;0.0;1.6
2044;-5.7;-0.2;0.0;1.2
2045;-5.3;-0.2;0.0;0.9
2046;-4.9;-0.2;0.0;0.8
2047;-4.2;-0.1;0.0;0.7
2048;-3.8;-0.1;0.0;0.7
2049;-3.7;-0.1;-0.1;0.8
2050;-3.6;-0.1;-0.1;0.9


