Anio;Alt;AltGD;Ten;TenGD
2025;10.4;10.3;10.4;10.3
2026;10.5;10.4;10.5;10.4
2027;10.7;10.5;10.7;10.5
2028;10.9;10.6;10.9;10.6
2029;11.0;10.7;11.0;10.7
2030;11.2;10.7;11.2;10.8
2031;11.5;10.9;11.5;11.0
2032;11.8;11.2;11.8;11.2
2033;12.1;11.4;12.1;11.5
2034;12.5;11.6;12.5;11.7
2035;12.8;11.9;12.8;12.0
2036;13.2;12.2;13.2;12.3
2037;13.6;12.5;13.6;12.7
2038;14.0;12.9;14.0;13.0
2039;14.5;13.3;14.5;13.4
2040;14.9;13.6;14.9;13.8
2041;15.3;14.0;15.3;14.2
2042;15.8;14.5;15.8;14.6
2043;16.3;14.9;16.3;15.1
2044;16.8;15.4;16.8;15.5
2045;17.3;15.9;17.3;16.0
2046;17.8;16.4;17.8;16.6
2047;18.4;16.9;18.4;17.1
2048;19.0;17.5;19.0;17.7
2049;19.6;18.1;19.6;18.2
2050;20.2;18.6;20.2;18.8
