año;tend;alt
2023;-6.6775091447667;-7.51417701236083
2024;-11.8887377302378;-13.3783537875876
2025;-25.5586919663816;-28.7611040997717
2026;-44.9845020773099;-44.1616006918474
2027;-61.4678672650139;-62.0886729839197
2028;-88.4370381618262;-66.5170585865966
2029;-118.269847125193;-28.5959281537094
2030;-150.23098169563;-7.20115614945153
2031;-187.042298347172;-6.80485789711028
2032;-224.3874367735;-10.2094195203029
2033;-260.74232543094;-9.61655132136437
2034;-296.197796547421;-10.7869815746474
2035;-334.812808959047;-11.8915304512061
2036;-367.353184438405;-13.9987330024754
2037;-397.608038532294;-21.6041942784363
2038;-421.066755712482;-25.7584343276226
2039;-444.387250509636;-34.5185971183322
2040;-470.716389457874;-42.9758088736659
2041;-498.365419258794;-45.0360613062279
2042;-513.296405157654;-56.3080362467966
2043;-540.285896318535;-66.3995309408421
2044;-576.866243733138;-71.2939580124807
2045;-603.188586764548;-75.4901894346291
2046;-629.345511823816;-82.9649746541974
2047;-601.476561330789;-98.8743362608283
2048;-602.870933790815;-117.4882302039
2049;-661.401878371477;-142.564722711842
2050;-729.007473066787;-150.378911228962
