Anio;Alt;AltGD;AltGDM;Tend;TendGD
2025;1523.4;1495.0;1495.0;1445.6;1420.0
2026;1223.5;1177.2;1177.2;1371.0;1326.1
2027;1125.2;1059.6;1059.6;1267.1;1205.7
2028;1024.9;975.2;975.2;1330.8;1242.4
2029;655.7;642.1;642.1;1398.5;1280.3
2030;227.7;224.5;224.5;1467.5;1317.3
2031;248.2;244.4;244.4;1593.7;1406.7
2032;283.2;278.8;278.8;1733.2;1508.8
2033;330.4;325.3;325.3;1878.9;1618.2
2034;362.4;356.7;356.7;2029.6;1733.4
2035;377.5;370.7;370.7;2193.2;1858.4
2036;398.0;390.1;385.5;2362.7;1995.4
2037;467.2;457.2;447.3;2539.2;2141.5
2038;551.3;534.3;512.2;2719.0;2297.9
2039;648.1;629.4;579.8;2903.6;2459.3
2040;752.4;727.0;653.8;3108.9;2638.2
2041;868.6;834.7;735.9;3354.1;2855.7
2042;992.8;948.6;821.7;3604.9;3091.7
2043;1123.7;1070.5;929.3;3851.7;3311.4
2044;1260.9;1199.1;1054.0;4110.3;3533.5
2045;1410.9;1346.1;1189.0;4382.8;3779.6
2046;1580.1;1502.4;1334.4;4666.2;4036.8
2047;1764.5;1666.7;1487.6;4860.8;4259.3
2048;1925.4;1809.1;1621.2;5126.1;4523.3
2049;2127.7;1989.0;1796.0;5502.5;4841.1
2050;2232.6;2079.1;1877.6;5931.6;5202.6


