hora,hid,hidaj,rositas,rositasaj
1-2,30.60316,30.60316,78.93333,78.9
3-4,22.78984,23.01774,78.93333,78.9
5-6,23.00408,23.23412,78.93333,83.9
7-8,35.00158,42.0019,78.93333,83.9
9-10,45.99309,36.79447,79.31667,74.3
11-12,50.06225,30.03735,79.31667,59.3
13-14,44.34762,35.4781,79.31667,59.3
15-16,49.04915,44.14423,79.31667,69.3
17-18,49.25875,46.79581,79.31667,94.3
19-20,71.06113,90.95825,80.63333,98.6
21-22,68.94491,89.62838,80.63333,92.6
23-24,47.50066,54.62576,79.31667,79.3
1-2,59.34605,59.93951,74.56667,74.6
3-4,56.15959,57.28278,74.56667,74.6
5-6,55.89112,58.68568,74.56667,74.6
7-8,59.75463,74.69329,74.56667,69.6
9-10,65.72233,42.71951,68.63333,58.7
11-12,68.00671,34.00336,68.63333,43.7
13-14,64.60443,41.99288,68.63333,43.7
15-16,68.29594,51.22196,68.63333,58.7
17-18,67.65432,91.33333,68.63333,93.7
19-20,77.04843,98.62199,69.16667,97.2
21-22,79.97639,99.17072,69.16667,91.2
23-24,68.08744,85.1093,68.63333,68.7
