anio;FosilN;HidroN;SolarN;EolicoN;FosilC;HidroC;SolarC;EolicoC;FosilO;HidroO;SolarO;EolicoO;FosilS;HidroS;SolarS;EolicoS
2023;137;1255;0;0;325;977;209;82;8914;0;0;377;5592;135;127;0
2024;137;1217;0;0;250;1547;209;82;8347;0;0;377;5574;135;132;0
2025;137;1811;214;0;0;3444;209;82;4199;0;32;941;4149;135;132;0
2026;137;1811;214;0;0;3443;584;82;3104;0;32;1481;3752;135;191;0
2027;137;2273;214;0;0;3421;584;82;3052;0;32;1481;3314;135;191;0
2028;137;2273;214;0;0;3212;584;82;2791;0;32;1657;3077;135;666;0
2029;137;2131;214;0;0;2985;584;82;1653;1316;32;1657;2378;116;904;0
2030;137;1631;429;0;0;1833;584;82;769;3868;32;1657;1133;94;1133;0
2031;137;1515;429;0;0;1769;1265;82;881;3428;32;1741;1123;82;1265;0
2032;137;1551;429;0;0;1895;1265;82;883;3509;32;1741;1295;82;1273;0
2033;137;1580;429;0;0;2004;1265;82;1016;3583;32;1741;1396;89;1282;0
2034;137;1588;572;0;0;2005;1322;82;983;3469;32;1916;1589;89;1291;0
2035;137;1589;572;0;13;2002;1322;82;987;3449;32;2295;1647;89;1300;0
2036;137;1593;572;0;55;2007;1322;82;973;3438;32;2656;1721;89;1311;0
2037;137;1662;572;0;98;2087;1322;82;1030;3533;32;2656;1964;89;1321;0
2038;137;1718;572;0;159;2164;1322;82;1091;3620;32;2656;2262;89;1332;0
2039;137;1737;572;0;229;2264;1322;82;1198;3705;32;2656;2566;89;1343;0
2040;137;1756;572;0;298;2338;1322;82;1325;3790;32;2656;2889;89;1353;0
2041;137;1792;572;0;370;2411;1322;82;1553;3852;32;2656;3167;89;1362;0
2042;137;1791;572;0;445;2523;1322;82;1848;3897;32;2656;3415;96;1369;0
2043;137;1943;572;0;543;2504;1322;82;2710;3922;32;2656;3106;104;1373;0
2044;137;1974;572;0;678;2634;1322;82;2773;3945;32;2656;3591;100;1373;0
2045;137;2036;572;0;787;2751;1322;82;3396;3947;32;2656;3605;104;1373;0
2046;137;2040;572;0;961;2907;1322;82;4163;3947;32;2656;3506;108;1373;0
2047;137;2091;572;0;1186;2999;1322;82;4844;3947;32;2656;3517;116;1373;0
2048;167;2107;572;0;1523;3106;1322;82;5190;3947;32;2786;3605;116;1373;0
2049;213;2107;572;0;2004;3263;1322;82;5515;3947;32;2786;3759;123;1373;0
2050;280;2141;572;0;2313;3312;1322;234;5330;3947;32;2975;4090;123;1373;0
