anio;FosilN;HidroN;SolarN;EolicoN;FosilC;HidroC;SolarC;EolicoC;FosilO;HidroO;SolarO;EolicoO;FosilS;HidroS;SolarS;EolicoS
2023;0;0;0;0;-5;0;0;0;-19;0;0;0;-13;0;0;0
2024;0;0;0;0;-1;0;0;0;-43;0;0;0;-21;0;0;0
2025;0;0;0;0;0;0;0;0;-121;0;0;0;-20;0;0;0
2026;0;0;0;0;0;-13;0;0;-144;0;0;0;-87;0;0;0
2027;0;0;0;0;0;-39;0;0;-273;0;0;0;-53;0;0;0
2028;0;-37;0;0;0;-127;0;0;-24;0;0;0;-223;-7;0;0
2029;0;-35;0;0;0;-313;0;0;163;0;0;0;-231;-16;0;0
2030;0;-77;0;0;0;-113;0;0;240;-271;0;0;-256;-11;-23;0
2031;0;-30;0;0;0;-47;-7;-9;0;-443;0;-20;-19;-5;-38;0
2032;0;-59;0;0;0;-48;-8;-10;104;-510;0;-20;-126;-4;-44;0
2033;0;-88;0;0;0;-54;-9;-9;0;-567;0;-20;-25;-7;-50;0
2034;0;-78;0;0;0;-55;-86;-14;37;-550;0;-56;-66;-7;-57;0
2035;0;-79;0;0;0;-69;-79;-14;0;-561;0;-119;-34;-9;-62;0
2036;0;-83;0;0;0;-75;-69;-19;0;-577;0;-181;-39;-7;-68;0
2037;0;-152;0;0;0;-51;-56;-14;-8;-635;0;-165;-42;-7;-73;0
2038;0;-208;0;0;0;-39;-42;-14;-10;-675;0;-143;-74;-7;-77;0
2039;0;-190;0;0;0;-124;-28;-13;-40;-706;0;-121;-53;0;-81;0
2040;0;-209;0;0;0;-144;-16;-11;-42;-742;0;-94;-84;0;-84;0
2041;0;-213;0;0;0;-197;-5;-9;-13;-752;0;-65;-155;0;-84;0
2042;0;-212;0;0;0;-255;0;-8;1124;-740;0;-34;-1344;-7;-80;0
2043;0;-307;0;0;0;-236;0;-4;-545;-691;0;-19;280;-16;-74;0
2044;0;-321;0;0;-27;-327;0;-4;140;-627;0;-4;-421;-9;-63;0
2045;0;-321;0;0;-29;-451;0;0;229;-534;0;0;-522;-16;-51;0
2046;0;-304;0;0;-29;-562;0;0;-374;-442;0;0;18;-19;-38;0
2047;0;-332;0;0;-30;-609;0;0;-393;-346;0;0;-64;-28;-25;0
2048;0;-324;0;0;-31;-682;0;0;-867;-282;0;0;319;-23;-15;0
2049;0;-269;0;0;-35;-806;0;0;-688;-202;0;0;34;-23;-7;0
2050;0;-282;0;0;-53;-831;0;0;-367;-184;0;0;-343;-23;-1;0
