anio;FosilN;HidroN;SolarN;EolicoN;FosilC;HidroC;SolarC;EolicoC;FosilO;HidroO;SolarO;EolicoO;FosilS;HidroS;SolarS;EolicoS
2023;0;0;0;0;-5;0;0;0;221;0;0;0;-254;0;0;0
2024;0;0;0;0;-1;0;0;0;-43;0;0;0;-21;0;0;0
2025;0;0;0;0;0;0;0;0;-84;0;0;0;-57;0;0;0
2026;0;0;0;0;0;-13;0;0;-144;0;0;0;-87;0;0;0
2027;0;0;0;0;0;-39;0;0;-217;0;0;0;-109;0;0;0
2028;0;-37;0;0;0;-127;0;0;-24;0;0;0;-223;-7;0;0
2029;0;-35;0;0;0;-313;0;0;76;0;0;0;-144;-16;0;0
2030;0;-67;0;0;0;-122;0;0;155;-271;0;0;-170;-11;-23;0
2031;0;-30;0;0;0;-47;-7;-7;51;-443;0;-22;-70;-5;-38;0
2032;0;-59;0;0;0;-48;-8;-7;-28;-510;0;-23;5;-4;-44;0
2033;0;-88;0;0;0;-54;-9;-7;-92;-567;0;-23;67;-7;-50;0
2034;0;-78;0;0;0;-55;-86;-14;0;-550;0;-56;-29;-7;-57;0
2035;0;-79;0;0;0;-69;-79;-14;0;-561;0;-119;-34;-9;-62;0
2036;0;-74;0;0;0;-73;-69;-14;-11;-577;0;-186;-51;-5;-68;0
2037;0;-135;0;0;-1;-76;-56;-14;-10;-603;0;-165;-88;-4;-73;0
2038;0;-157;0;0;-1;-100;-42;-14;-26;-611;0;-143;-168;-2;-77;0
2039;0;-160;0;0;-1;-124;-28;-13;-70;-605;0;-121;-269;0;-81;0
2040;0;-174;0;0;-1;-115;-16;-11;-102;-612;0;-94;-387;1;-84;0
2041;0;-169;0;0;-2;-146;-5;-9;-153;-586;0;-65;-505;2;-84;0
2042;0;-145;0;0;-2;-182;0;-4;-219;-549;0;-38;-630;-1;-80;0
2043;0;-261;0;0;-23;-108;0;-4;-417;-495;0;-19;-527;-10;-74;0
2044;0;-277;0;0;-60;-195;0;0;-228;-432;0;-7;-741;7;-63;0
2045;0;-308;0;0;-87;-247;0;0;-13;-348;0;0;-1004;-2;-51;0
2046;0;-291;0;0;-97;-339;0;0;-467;-251;0;0;-658;-1;-38;0
2047;0;-275;0;0;-120;-398;0;0;-836;-163;0;0;-421;-5;-25;0
2048;-2;-242;0;0;-168;-447;0;0;-1016;-117;0;0;-328;-5;-15;0
2049;-2;-182;0;0;-317;-522;0;0;-1095;-73;0;0;-236;-11;-7;0
2050;-2;-183;0;0;-402;-540;0;0;-949;-65;0;0;-413;-3;-1;0
