anio;FosilN;HidroN;SolarN;EolicoN;FosilC;HidroC;SolarC;EolicoC;FosilO;HidroO;SolarO;EolicoO;FosilS;HidroS;SolarS;EolicoS
2023;137;1255;0;0;343;977;209;82;9101;0;0;377;5468;92;127;0
2024;137;1217;0;0;270;1547;209;82;8762;0;0;377;5304;47;132;0
2025;137;1811;214;0;0;3444;209;82;5159;0;32;1292;2532;135;132;0
2026;137;1811;214;0;0;3444;584;82;6270;0;32;1292;1049;135;132;0
2027;137;2273;214;0;0;3436;584;82;5832;0;32;1292;973;135;132;0
2028;137;2273;214;0;0;3440;584;82;6046;0;32;1292;1079;135;132;0
2029;137;2273;214;0;0;3443;584;82;6263;0;32;1292;1202;135;132;0
2030;137;2273;214;0;0;3444;584;82;6487;0;32;1292;1323;135;132;0
2031;137;2273;214;0;0;3444;584;82;6941;0;32;1292;1491;135;132;0
2032;137;2273;214;0;0;3444;584;82;7464;0;32;1292;1652;135;132;0
2033;137;2273;214;0;0;3444;584;82;8015;0;32;1292;1821;135;132;0
2034;137;2273;214;0;5;3444;584;82;8519;0;32;1292;2054;135;132;0
2035;137;2273;214;0;70;3444;584;82;8937;0;32;1292;2379;135;132;0
2036;137;2273;214;0;157;3444;584;82;9274;0;32;1292;2788;135;132;0
2037;137;2273;214;0;262;3444;584;82;9620;0;32;1292;3209;135;132;0
2038;137;2273;214;0;399;3444;584;82;9854;0;32;1292;3721;135;132;0
2039;137;2273;214;0;581;3444;584;82;9998;0;32;1292;4301;135;132;0
2040;137;2273;214;0;764;3444;584;82;10423;0;32;1292;4704;135;132;0
2041;137;2273;214;0;949;3444;584;82;11068;0;32;1292;5088;135;132;0
2042;137;2273;214;0;1303;3444;584;82;11624;0;32;1292;5415;135;132;0
2043;137;2273;214;0;1899;3444;584;82;11993;0;32;1292;5667;135;132;0
2044;137;2273;214;0;2691;3444;584;82;12319;0;32;1292;5826;135;132;0
2045;137;2273;214;0;3667;3444;584;82;12583;0;32;1292;5928;135;132;0
2046;137;2273;214;0;4781;3444;584;82;12848;0;32;1292;5948;135;132;0
2047;239;2287;214;0;6546;3444;584;82;11883;0;32;1292;6000;135;132;0
2048;399;2422;214;0;7322;3444;584;82;11867;0;32;1292;6388;135;132;0
2049;582;2488;214;0;8018;3444;584;82;12766;0;32;1292;6469;135;132;0
2050;596;2489;214;0;8002;3444;584;82;14875;0;32;1292;6481;135;132;0
