anio;FosilN;HidroN;SolarN;EolicoN;FosilC;HidroC;SolarC;EolicoC;FosilO;HidroO;SolarO;EolicoO;FosilS;HidroS;SolarS;EolicoS
2023;0;0;0;0;-4;0;0;0;-125;0;0;0;97;0;0;0
2024;0;0;0;0;-1;0;0;0;80;0;0;0;-137;0;0;0
2025;0;0;0;0;0;0;0;0;125;0;0;0;-251;0;0;0
2026;0;0;0;0;0;-3;0;0;-265;0;0;0;44;0;0;0
2027;0;-14;0;0;0;-15;0;0;-275;0;0;0;-26;0;0;0
2028;0;-1;0;0;0;-36;0;0;-392;0;0;0;-41;0;0;0
2029;0;-34;0;0;0;-12;0;0;-517;0;0;0;-62;0;0;0
2030;0;-40;0;0;0;-14;0;0;-653;0;0;0;-84;0;0;0
2031;0;-1;0;0;0;-50;0;0;-806;0;0;0;-111;0;0;0
2032;0;-35;0;0;0;-13;0;0;-961;0;0;0;-140;0;0;0
2033;0;-16;0;0;0;-28;0;0;-1109;0;0;0;-170;0;0;0
2034;0;-31;0;0;0;-9;0;0;-1230;0;0;0;-224;0;0;0
2035;0;-16;0;0;0;-17;0;0;-1346;0;0;0;-297;0;0;0
2036;0;-24;0;0;0;-2;0;0;-1445;0;0;0;-358;0;0;0
2037;0;-4;0;0;0;-14;0;0;-1542;0;0;0;-410;0;0;0
2038;0;0;0;0;-29;-9;0;0;-1502;0;0;0;-535;0;0;0
2039;0;-4;0;0;-36;0;0;0;-1412;0;0;0;-733;0;0;0
2040;0;0;0;0;-37;0;0;0;-1402;0;0;0;-872;0;0;0
2041;0;0;0;0;-68;0;0;0;-1379;0;0;0;-1001;0;0;0
2042;0;0;0;0;-109;0;0;0;-1214;0;0;0;-1199;0;0;0
2043;0;0;0;0;-131;0;0;0;-1196;0;0;0;-1327;0;0;0
2044;0;0;0;0;-235;0;0;0;-1237;0;0;0;-1365;0;0;0
2045;0;0;0;0;-462;0;0;0;-1245;0;0;0;-1260;0;0;0
2046;0;0;0;0;-712;0;0;0;-1252;0;0;0;-1132;0;0;0
2047;0;0;0;0;-1381;0;0;0;-613;0;0;0;-963;0;0;0
2048;0;0;0;0;-1698;0;0;0;-424;0;0;0;-841;0;0;0
2049;80;3;0;0;-1496;0;0;0;-1185;0;0;0;-652;0;0;0
2050;318;2;0;0;-918;0;0;0;-2518;0;0;0;-471;0;0;0
