hora;expoC30;impoC30;expoN30;impoN30;expoO30;impoO30;expoS30;impoS30;expoC40;impoC40;expoN40;impoN40;expoO40;impoO40;expoS40;impoS40;expoC50;impoC50;expoN50;impoN50;expoO50;impoO50;expoS50;impoS50
Dry:1-2;132;-192;0;-132;146;0;46;0;246;-324;0;-246;260;0;64;0;0;0;0;0;0;0;0;0
Dry:3-4;165;-276;0;-165;260;0;16;0;278;-325;0;-278;260;0;65;0;0;0;0;0;0;0;0;0
Dry:5-6;164;-273;0;-164;260;0;13;0;276;-325;0;-276;260;0;65;0;0;0;0;0;0;0;0;0
Dry:7-8;127;-128;0;-87;128;0;0;-41;170;-220;40.8581347604692;-170;84;0;135;0;-42;-11;0;42;0;0;11;0
Dry:9-10;105;-219;0;-105;155;0;64;0;172;-164;0;-172;82;0;81;0;-54;84;0;109;0;-55;-84;0
Dry:11-12;124;-165;0;-100;0;-24;165;0;329;-165;0;-69;0;-260;165;0;-113;-74;0;15;0;99;74;0
Dry:13-14;132;-165;0;-94;0;-38;165;0;319;-165;0;-59;0;-260;165;0;-19;-72;0;38;0;-19;72;0
Dry:15-16;146;-239;0;-146;139;0;100;0;187;-128;0;-147;0;-40;128;0;-70;-178;0;70;123;0;56;1
Dry:17-18;198;-217;0;-80;217;0;0;-118;246;-260;118.007220572753;-88;260;0;0;-158;-35;33;0;35;-51;0;18;0
Dry:19-20;180;-181;0;-15;181;0;0;-165;257;-205;165;-92;205;0;0;-165;-5;0;0;0;0;0;0;5
Dry:21-22;165;-162;0;0;148;0;0;-165;256;-132;165;-91;132;0;0;-165;-13;0;0;7;0;0;0;5
Dry:23-24;184;-135;0;-65;135;0;0;-119;167;-211;119.154884740357;-167;150;0;62;0;-6;0;0;21;0;0;0;-15
Wet:1-2;165;-97;0;0;86;0;0;-165;101;-65;165;-101;11;0;54;0;-2;0;0;2;0;0;0;0
Wet:3-4;165;-99;0;0;97;0;0;-165;109;-89;165;-109;23;0;66;0;-4;0;0;3;0;0;0;0
Wet:5-6;165;-94;0;0;92;0;0;-165;106;-84;165;-106;17;0;67;0;-9;0;0;8;0;0;0;1
Wet:7-8;146;-119;0;0;73;0;0;-146;164;0;146.366331539441;-26;0;-13;0;-125;79;0;0;54;53;0;-53;-133
Wet:9-10;18;-133;0;-18;70;0;63;0;175;-119;0;-175;39;0;81;0;-8;-8;0;121;0;-151;8;38
Wet:11-12;116;-165;0;-111;0;-6;165;0;331;-165;0;-82;0;-249;165;0;-206;-71;0;112;0;95;71;0
Wet:13-14;114;-165;0;-113;0;-1;165;0;310;-165;0;-88;0;-222;165;0;-142;-53;0;53;0;88;53;0
Wet:15-16;159;-262;0;-159;175;0;86;0;164;-129;0;-164;24;0;105;0;-176;-55;0;76;35;89;20;11
Wet:17-18;156;-116;0;-44;116;0;0;-113;221;-194;112.696592429819;-74;194;0;0;-147;66;65;0;50;20;0;-85;-116
Wet:19-20;165;-76;0;0;55;0;0;-165;248;-87;165;-83;87;0;0;-165;-7;37;0;1;-37;0;0;6
Wet:21-22;165;-43;0;0;29;0;0;-165;256;-54;165;-91;54;0;0;-165;3;0;0;-1;0;0;0;-3
Wet:23-24;165;-67;0;0;34;0;0;-165;124;0;165;-71;0;-38;0;-16;-20;0;0;16;0;0;0;4
