hora;expoC30;impoC30;expoN30;impoN30;expoO30;impoO30;expoS30;impoS30;expoC40;impoC40;expoN40;impoN40;expoO40;impoO40;expoS40;impoS40;expoC50;impoC50;expoN50;impoN50;expoO50;impoO50;expoS50;impoS50
Dry:1-2;132;-192;0;-132;146;0;46;0;246;-324;0;-246;260;0;64;0;394;-260;0;-390;260;0;0;-4
Dry:3-4;165;-276;0;-165;260;0;16;0;278;-325;0;-278;260;0;65;0;393;-260;0;-390;260;0;0;-3
Dry:5-6;164;-273;0;-164;260;0;13;0;276;-325;0;-276;260;0;65;0;392;-260;0;-390;260;0;0;-2
Dry:7-8;127;-128;0;-87;128;0;0;-41;170;-220;41;-170;84;0;135;0;320;-301;0;-320;260;0;41;0
Dry:9-10;105;-219;0;-105;155;0;64;0;172;-164;0;-172;82;0;81;0;160;-6;0;-99;0;-61;6;0
Dry:11-12;124;-165;0;-100;0;-24;165;0;329;-165;0;-69;0;-260;165;0;237;-165;0;-194;0;-43;165;0
Dry:13-14;132;-165;0;-94;0;-38;165;0;319;-165;0;-59;0;-260;165;0;255;-165;0;-184;0;-71;165;0
Dry:15-16;146;-239;0;-146;139;0;100;0;187;-128;0;-147;0;-40;128;0;143;-193;0;-143;137;0;56;0
Dry:17-18;198;-217;0;-80;217;0;0;-118;246;-260;118;-88;260;0;0;-158;247;-287;0;-247;184;0;103;0
Dry:19-20;180;-181;0;-15;181;0;0;-165;257;-205;165;-92;205;0;0;-165;285;-196;0;-251;196;0;0;-34
Dry:21-22;165;-162;0;0;148;0;0;-165;256;-132;165;-91;132;0;0;-165;285;-196;0;-251;196;0;0;-34
Dry:23-24;184;-135;0;-65;135;0;0;-119;167;-211;119;-167;150;0;62;0;359;-230;0;-324;230;0;0;-35
Wet:1-2;165;-97;0;0;86;0;0;-165;101;-65;165;-101;11;0;54;0;289;-260;0;-264;260;0;0;-25
Wet:3-4;165;-99;0;0;97;0;0;-165;109;-89;165;-109;23;0;66;0;293;-260;0;-271;260;0;0;-22
Wet:5-6;165;-94;0;0;92;0;0;-165;106;-84;165;-106;17;0;67;0;287;-260;0;-266;260;0;0;-21
Wet:7-8;146;-119;0;0;73;0;0;-146;164;0;146;-26;0;-13;0;-125;309;-260;0;-176;260;0;0;-133
Wet:9-10;18;-133;0;-18;70;0;63;0;175;-119;0;-175;39;0;81;0;255;-8;0;-87;0;-168;8;0
Wet:11-12;116;-165;0;-111;0;-6;165;0;331;-165;0;-82;0;-249;165;0;217;-161;0;-97;0;-120;161;0
Wet:13-14;114;-165;0;-113;0;-1;165;0;310;-165;0;-88;0;-222;165;0;186;-138;0;-152;0;-34;138;0
Wet:15-16;159;-262;0;-159;175;0;86;0;164;-129;0;-164;24;0;105;0;138;-55;0;-138;35;0;20;0
Wet:17-18;156;-116;0;-44;116;0;0;-113;221;-194;113;-74;194;0;0;-147;288;-68;0;-172;68;0;0;-116
Wet:19-20;165;-76;0;0;55;0;0;-165;248;-87;165;-83;87;0;0;-165;265;-172;0;-241;172;0;0;-24
Wet:21-22;165;-43;0;0;29;0;0;-165;256;-54;165;-91;54;0;0;-165;289;-198;0;-250;198;0;0;-39
Wet:23-24;165;-67;0;0;34;0;0;-165;124;0;165;-71;0;-38;0;-16;255;-230;0;-228;230;0;0;-27
