hora;expoC30;impoC30;expoN30;impoN30;expoO30;impoO30;expoS30;impoS30;expoC40;impoC40;expoN40;impoN40;expoO40;impoO40;expoS40;impoS40;expoC50;impoC50;expoN50;impoN50;expoO50;impoO50;expoS50;impoS50
Dry:1-2;132;-192;0;-132;146;0;46;0;246;-324;0;-246;260;0;64;0;394;-260;0;-390;260;0;0;-4
Dry:3-4;165;-276;0;-165;260;0;16;0;278;-325;0;-278;260;0;65;0;393;-260;0;-390;260;0;0;-3
Dry:5-6;164;-273;0;-164;260;0;13;0;277;-325;0;-277;260;0;65;0;393;-260;0;-390;260;0;0;-3
Dry:7-8;252;-252;0;-87;252;0;0;-165;182;-249;0;-182;115;0;134;0;341;-299;0;-341;260;0;39;0
Dry:9-10;105;-219;0;-105;155;0;64;0;172;-164;0;-172;82;0;81;0;121;-9;0;-89;0;-33;9;0
Dry:11-12;124;-165;0;-100;0;-24;165;0;329;-165;0;-69;0;-260;165;0;237;-165;0;-194;0;-43;165;0
Dry:13-14;132;-165;0;-94;0;-38;165;0;319;-165;0;-59;0;-260;165;0;255;-165;0;-184;0;-71;165;0
Dry:15-16;146;-239;0;-146;139;0;100;0;187;-128;0;-147;0;-40;128;0;187;-238;0;-187;194;0;43;0
Dry:17-18;224;-217;0;-106;217;0;0;-118;242;-222;0;-84;222;0;0;-158;240;-270;0;-240;260;0;10;0
Dry:19-20;180;-181;0;-15;181;0;0;-165;257;-162;0;-92;162;0;0;-165;290;-196;0;-251;196;0;0;-39
Dry:21-22;165;-162;14;0;148;0;0;-165;173;-95;0;-91;95;0;0;-82;298;-196;0;-258;196;0;0;-40
Dry:23-24;184;-135;0;-65;135;0;0;-119;180;-241;0;-180;180;0;61;0;365;-230;0;-345;230;0;0;-20
Wet:1-2;165;-97;11;0;86;0;0;-165;102;-68;0;-102;11;0;57;0;291;-260;0;-266;260;0;0;-25
Wet:3-4;165;-99;2;0;97;0;0;-165;111;-93;0;-111;23;0;70;0;296;-260;0;-274;260;0;0;-22
Wet:5-6;165;-94;2;0;92;0;0;-165;111;-95;0;-111;21;0;75;0;296;-260;0;-274;260;0;0;-22
Wet:7-8;146;-119;45;0;73;0;0;-146;131;-3;0;-45;3;0;0;-86;202;-213;0;-202;147;0;65;0
Wet:9-10;18;-133;0;-18;70;0;63;0;175;-151;0;-175;70;0;81;0;220;-14;0;-108;0;-112;14;0
Wet:11-12;116;-165;0;-111;0;-6;165;0;331;-165;0;-82;0;-249;165;0;208;-154;0;-208;2;0;151;0
Wet:13-14;114;-165;0;-113;0;-1;165;0;310;-165;0;-88;0;-222;165;0;215;-167;0;-215;29;0;138;0
Wet:15-16;159;-262;0;-159;175;0;86;0;164;-129;0;-164;24;0;105;0;88;-111;0;-88;91;0;20;0
Wet:17-18;156;-116;0;-44;116;0;0;-113;243;-114;0;-116;114;0;0;-128;336;-210;0;-171;210;0;0;-165
Wet:19-20;165;-76;21;0;55;0;0;-165;146;0;0;-83;0;-1;0;-62;270;-211;0;-240;211;0;0;-30
Wet:21-22;165;-43;14;0;29;0;0;-165;156;0;0;-91;0;-38;0;-27;286;-198;0;-249;198;0;0;-36
Wet:23-24;165;-67;33;0;34;0;0;-165;117;-33;0;-79;0;-38;33;0;275;-230;0;-244;230;0;0;-31

