hora;expoC30;impoC30;expoN30;impoN30;expoO30;impoO30;expoS30;impoS30;expoC40;impoC40;expoN40;impoN40;expoO40;impoO40;expoS40;impoS40;expoC50;impoC50;expoN50;impoN50;expoO50;impoO50;expoS50;impoS50
Dry:1-2;132;-192;0;-132;146;0;46;0;246;-324;0;-246;260;0;64;0;394;-260;0;-390;260;0;0;-4
Dry:3-4;165;-276;0;-165;148;0;128;0;278;-325;0;-278;260;0;65;0;393;-260;0;-390;260;0;0;-3
Dry:5-6;164;-273;0;-164;147;0;126;0;277;-325;0;-277;260;0;65;0;393;-260;0;-390;260;0;0;-3
Dry:7-8;114;-119;0;-93;119;0;0;-21;199;-279;0;-199;152;0;127;0;363;-290;0;-363;260;0;30;0
Dry:9-10;194;-156;0;-194;107;0;49;0;124;-60;0;-124;19;0;41;0;214;-91;0;-208;0;-6;91;0
Dry:11-12;151;-229;0;-151;64;0;165;0;249;-165;0;-205;0;-44;165;0;350;-91;0;-208;0;-142;91;0
Dry:13-14;145;-215;0;-145;50;0;165;0;260;-165;0;-198;0;-62;165;0;274;-93;0;-222;0;-52;93;0
Dry:15-16;186;-307;0;-186;215;0;92;0;253;-273;0;-253;191;0;82;0;213;-15;0;-213;15;0;0;-1
Dry:17-18;172;-200;0;-49;200;0;0;-123;248;-176;0;-118;176;0;0;-130;282;-319;0;-282;235;0;84;0
Dry:19-20;180;-181;0;-15;181;0;0;-165;257;-162;0;-92;162;0;0;-165;290;-195;0;-251;195;0;0;-39
Dry:21-22;165;-162;14;0;148;0;0;-165;173;-95;0;-91;95;0;0;-82;298;-196;0;-258;196;0;0;-40
Dry:23-24;184;-135;0;-65;135;0;0;-119;180;-241;0;-180;180;0;61;0;365;-230;0;-345;230;0;0;-20
Wet:1-2;165;-97;11;0;86;0;0;-165;102;-68;0;-102;11;0;57;0;291;-260;0;-266;260;0;0;-25
Wet:3-4;165;-99;2;0;97;0;0;-165;111;-93;0;-111;23;0;70;0;296;-260;0;-274;260;0;0;-22
Wet:5-6;165;-94;2;0;92;0;0;-165;111;-95;0;-111;21;0;75;0;296;-260;0;-274;260;0;0;-22
Wet:7-8;150;-100;37;0;62;0;0;-150;112;0;0;-67;0;-27;0;-18;230;-260;0;-230;207;0;53;0
Wet:9-10;0;-74;5;0;21;0;48;0;131;-40;0;-67;0;-63;40;0;263;0;0;-208;0;-17;0;-38
Wet:11-12;160;-220;0;-160;55;0;165;0;233;-165;0;-216;0;-16;165;0;423;-91;0;-209;0;-214;91;0
Wet:13-14;161;-247;0;-161;97;0;150;0;222;-163;0;-219;0;-4;163;0;327;-85;0;-205;0;-122;85;0
Wet:15-16;58;-188;0;-58;123;0;65;0;128;-167;0;-128;107;0;61;0;315;0;0;-214;0;-89;0;-11
Wet:17-18;159;-96;0;-58;96;0;0;-100;211;-58;0;-66;58;0;0;-145;222;-133;0;-222;48;0;85;0
Wet:19-20;165;-75;21;0;54;0;0;-165;145;0;0;-84;0;-3;0;-58;272;-209;0;-242;209;0;0;-30
Wet:21-22;165;-43;14;0;29;0;0;-165;156;0;0;-91;0;-38;0;-27;286;-198;0;-249;198;0;0;-36
Wet:23-24;165;-67;33;0;34;0;0;-165;117;-33;0;-79;0;-38;33;0;275;-230;0;-244;230;0;0;-31

