hora;expoC30;impoC30;expoN30;impoN30;expoO30;impoO30;expoS30;impoS30;expoC40;impoC40;expoN40;impoN40;expoO40;impoO40;expoS40;impoS40;expoC50;impoC50;expoN50;impoN50;expoO50;impoO50;expoS50;impoS50
Dry:1-2;132;-150;0;-132;150;0;0;0;246;-174;0;-246;110;0;64;0;362;-15;0;-323;0;-40;15;0
Dry:3-4;165;-153;0;-165;153;0;0;0;278;-187;0;-278;122;0;65;0;313;-16;0;-286;0;-27;16;0
Dry:5-6;164;-152;0;-164;152;0;0;0;277;-187;0;-277;122;0;65;0;315;-16;0;-288;0;-27;16;0
Dry:7-8;123;-128;0;-103;128;0;0;-21;215;-178;0;-215;108;0;71;0;418;-14;0;-376;0;-42;14;0
Dry:9-10;187;0;0;-11;0;-11;0;-165;171;-89;0;-119;0;-52;89;0;328;-14;0;-281;0;-47;14;0
Dry:11-12;300;-21;21;0;0;-135;0;-165;176;0;0;-84;0;-28;0;-63;372;-14;0;-237;0;-135;14;0
Dry:13-14;251;-6;6;0;0;-86;0;-165;156;-13;0;-99;13;0;0;-57;341;-16;0;-261;0;-80;16;0
Dry:15-16;235;-7;7;0;0;-70;0;-165;154;-30;0;-101;30;0;0;-53;317;-12;0;-263;0;-54;12;0
Dry:17-18;202;-86;0;-37;86;0;0;-165;149;-142;0;-149;69;0;74;0;383;-7;0;-314;0;-69;7;0
Dry:19-20;206;0;0;-4;0;-37;0;-165;144;-49;0;-121;0;-23;49;0;359;0;0;-247;0;-108;0;-3
Dry:21-22;190;0;0;-4;0;-21;0;-165;137;-58;0;-120;0;-17;58;0;368;0;0;-258;0;-108;0;-3
Dry:23-24;183;-134;0;-65;134;0;0;-119;180;-140;0;-180;79;0;61;0;419;-6;0;-345;0;-73;6;0
Wet:1-2;165;-21;11;0;10;0;0;-165;107;-72;0;-102;0;-4;72;0;307;-14;0;-266;0;-40;14;0
Wet:3-4;165;-39;2;0;37;0;0;-165;111;-93;0;-111;19;0;74;0;302;-18;0;-274;0;-28;18;0
Wet:5-6;165;-41;2;0;39;0;0;-165;111;-96;0;-111;21;0;75;0;300;-18;0;-274;0;-26;18;0
Wet:7-8;204;-25;25;0;0;-39;0;-165;151;-80;0;-87;0;-64;80;0;287;-15;0;-250;0;-37;15;0
Wet:9-10;351;-25;25;0;0;-186;0;-165;222;0;0;-83;0;-75;0;-64;376;-9;0;-183;0;-193;9;0
Wet:11-12;420;-21;21;0;0;-255;0;-165;296;0;0;-85;0;-46;0;-165;321;-14;0;-158;0;-163;14;0
Wet:13-14;398;-24;24;0;0;-233;0;-165;271;0;0;-81;0;-24;0;-165;290;-15;0;-168;0;-122;15;0
Wet:15-16;374;-19;19;0;0;-209;0;-165;253;-3;0;-89;3;0;0;-165;289;-9;0;-173;0;-116;9;0
Wet:17-18;272;-17;17;0;0;-107;0;-165;148;0;0;-95;0;-26;0;-27;328;0;0;-219;0;-93;0;-15
Wet:19-20;256;-3;3;0;0;-91;0;-165;183;-41;0;-113;0;-70;41;0;321;0;0;-211;0;-95;0;-15
Wet:21-22;266;0;0;-3;0;-99;0;-165;213;-58;0;-120;0;-94;58;0;334;0;0;-204;0;-106;0;-23
Wet:23-24;209;-16;16;0;0;-44;0;-165;150;-66;0;-100;0;-50;66;0;318;-6;0;-244;0;-74;6;0
