hora;expoC30;impoC30;expoN30;impoN30;expoO30;impoO30;expoS30;impoS30;expoC40;impoC40;expoN40;impoN40;expoO40;impoO40;expoS40;impoS40;expoC50;impoC50;expoN50;impoN50;expoO50;impoO50;expoS50;impoS50
Dry:1-2;132;-192;0;-132;150;0;42;0;246;-174;0;-246;110;0;64;0;362;-15;0;-257;0;-105;15;0
Dry:3-4;165;-276;0;-165;153;0;123;0;278;-187;0;-278;122;0;65;0;313;-16;0;-220;0;-93;16;0
Dry:5-6;164;-273;0;-164;152;0;121;0;277;-187;0;-277;122;0;65;0;315;-16;0;-223;0;-93;16;0
Dry:7-8;135;-136;0;-97;136;0;0;-38;200;-206;0;-200;129;0;77;0;440;-22;0;-359;0;-81;22;0
Dry:9-10;230;-20;20;0;0;-65;0;-165;200;-55;0;-35;55;0;0;-165;283;-49;0;-175;0;-108;49;0
Dry:11-12;377;-66;66;0;0;-222;0;-156;302;-37;37;0;0;-137;0;-165;141;-7;0;-83;0;-58;7;0
Dry:13-14;330;-51;51;0;0;-175;0;-155;257;-24;24;0;0;-92;0;-165;117;-14;0;-105;0;-13;14;0
Dry:15-16;295;-42;42;0;0;-130;0;-165;193;0;0;-6;0;-22;0;-165;151;-58;0;-143;0;-8;58;0
Dry:17-18;190;-67;0;-25;67;0;0;-165;119;-90;0;-119;51;0;39;0;358;-23;0;-276;0;-82;23;0
Dry:19-20;206;0;0;-4;0;-37;0;-165;144;-49;0;-121;0;-23;49;0;413;0;0;-235;0;-174;0;-3
Dry:21-22;190;0;0;-4;0;-21;0;-165;137;-58;0;-120;0;-17;58;0;413;0;0;-237;0;-173;0;-3
Dry:23-24;183;-134;0;-65;134;0;0;-119;180;-140;0;-180;79;0;61;0;435;-6;0;-296;0;-139;6;0
Wet:1-2;165;-21;11;0;10;0;0;-165;107;-72;0;-102;0;-4;72;0;372;-14;0;-266;0;-106;14;0
Wet:3-4;165;-39;2;0;37;0;0;-165;111;-93;0;-111;19;0;74;0;367;-18;0;-274;0;-93;18;0
Wet:5-6;165;-41;2;0;39;0;0;-165;111;-95;0;-111;21;0;75;0;366;-18;0;-274;0;-92;18;0
Wet:7-8;216;-33;33;0;0;-51;0;-165;115;-30;0;-67;0;-48;30;0;294;-25;0;-225;0;-69;25;0
Wet:9-10;406;-57;57;0;0;-241;0;-165;287;-2;2;0;0;-122;0;-165;204;-55;0;-75;0;-129;55;0
Wet:11-12;413;-20;20;0;0;-260;0;-153;418;-35;35;0;0;-253;0;-165;253;0;0;-1;0;-88;0;-165
Wet:13-14;414;-10;10;0;0;-260;0;-154;390;-34;34;0;0;-225;0;-165;225;0;0;-21;0;-44;0;-160
Wet:15-16;425;-45;45;0;0;-260;0;-165;320;-2;2;0;0;-155;0;-165;181;0;0;-57;0;-82;0;-42
Wet:17-18;295;-30;30;0;0;-130;0;-165;198;-24;0;-60;24;0;0;-138;344;-4;0;-173;0;-170;4;0
Wet:19-20;257;-4;4;0;0;-92;0;-165;181;-37;0;-112;0;-69;37;0;369;-1;0;-210;0;-159;1;0
Wet:21-22;266;0;0;-3;0;-99;0;-165;213;-58;0;-120;0;-94;58;0;379;0;0;-204;0;-172;0;-3
Wet:23-24;209;-16;16;0;0;-44;0;-165;150;-66;0;-100;0;-50;66;0;384;-6;0;-244;0;-140;6;0

