anio;Solar;Eolica;Hidro;Porc
2023;0.0;0.0;0.0;0.0
2024;0.0;0.0;0.0;0.0
2025;0.0;0.0;104.5;1.5
2026;0.0;0.0;118.9;1.5
2027;0.0;0.0;280.0;3.3
2028;0.0;0.0;620.8;7.1
2029;0.0;0.0;1202.1;12.4
2030;31.9;0.0;3062.4;28.5
2031;159.8;29.0;3748.1;35.8
2032;158.8;29.9;3601.9;34.0
2033;156.6;29.7;3476.7;32.5
2034;231.2;69.6;3556.0;33.6
2035;220.5;133.5;3607.0;33.7
2036;205.7;199.8;3631.6;33.6
2037;187.0;179.4;3490.8;31.6
2038;166.3;156.7;3355.1;29.7
2039;144.7;134.2;3242.8;28.1
2040;126.3;105.1;3139.9;26.6
2041;106.1;74.1;3034.7;25.0
2042;91.1;41.7;2924.3;23.5
2043;80.7;23.3;2792.0;22.0
2044;69.3;7.5;2646.0;20.4
2045;57.4;0.0;2501.1;18.9
2046;44.3;0.0;2342.4;17.5
2047;31.7;0.0;2178.7;16.0
2048;21.5;0.0;2051.3;14.7
2049;13.6;0.0;1877.9;13.2
2050;7.3;0.0;1815.7;12.4
