anio;Solar;Eolica;Hidro;Porc
2023;0;0;0;0
2024;0;0;0;0
2025;0;0;105;1
2026;0;0;119;1
2027;0;0;280;3
2028;0;0;621;7
2029;0;0;1202;12
2030;32;0;3062;29
2031;160;29;3748;36
2032;159;30;3602;34
2033;157;30;3477;32
2034;231;70;3556;34
2035;221;134;3607;34
2036;206;200;3624;33
2037;187;179;3473;31
2038;166;157;3309;29
2039;145;134;3129;27
2040;126;105;2968;25
2041;106;74;2799;23
2042;91;42;2618;21
2043;81;23;2449;19
2044;69;7;2293;17
2045;57;0;2118;16
2046;44;0;1931;14
2047;32;0;1739;12
2048;21;0;1589;11
2049;14;0;1402;10
2050;7;0;1323;9
