anio;Solar;Eolica;Hidro;Porc;tot
2023;0.0;0.0;0.0;0.0;0.0
2024;0.0;0.0;0.0;0.0;0.0
2025;0.0;0.0;104.5;1.5;104.5
2026;0.0;0.0;118.9;1.5;118.9
2027;0.0;0.0;280.0;3.3;280.0
2028;0.0;0.0;620.8;7.1;620.8
2029;0.0;0.0;1145.7;11.8;1202.1
2030;31.9;0.0;3048.9;28.3;3094.2
2031;159.8;29.0;3727.9;35.4;3936.9
2032;158.8;29.9;3573.7;33.5;3790.6
2033;156.6;29.7;3431.0;31.8;3663.1
2034;231.2;69.6;3506.0;33.0;3856.8
2035;220.5;133.5;3556.8;33.1;3961.1
2036;205.7;199.8;3579.0;32.9;4037.1
2037;187.0;179.4;3421.9;30.8;3857.2
2038;166.3;156.7;3259.5;28.6;3678.1
2039;144.7;134.2;3086.8;26.4;3521.7
2040;126.3;105.1;2922.2;24.4;3371.3
2041;106.1;74.1;2746.1;22.2;3215.0
2042;91.1;41.7;2572.7;20.2;3057.2
2043;80.7;23.3;2385.1;18.3;2896.1
2044;69.3;7.5;2223.4;16.7;2722.8
2045;57.4;0.0;2055.8;15.1;2558.5
2046;44.3;0.0;1876.5;13.5;2386.7
2047;31.7;0.0;1692.0;12.0;2210.4
2048;21.5;0.0;1549.5;10.7;2072.8
2049;13.6;0.0;1364.2;9.3;1891.5
2050;7.3;0.0;1294.4;8.5;1823.0
